powder,media,plating,test,mean_count,mean_spread_percent,mean_count_wNA,SPR,SPRs,temp_media,mean_count2,log_mean_count,log_mean_count_wNA,mean_spread_percent_wNA,SPRs_wNA,SPR_wNA
C,BHI,SpreadwOverlay,HHR.TSC,120,0,120,no,none,SpreadwOverlay,120,2.079181246,2.079181246,0,none,no
C,BHI,SpreadwOverlay,SP.MSC,120,0,120,no,none,SpreadwOverlay,120,2.079181246,2.079181246,0,none,no
C,BHI,SpreadwOverlay,SP.TSC,160,5,160,no,no,SpreadwOverlay,160,2.204119983,2.204119983,5,no,no
C,BHI,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
C,PCMA,Pour,HHR.TSC,160,0,160,no,none,Pour,160,2.204119983,2.204119983,0,none,no
C,PCMA,Pour,SP.MSC,80,0,80,no,none,Pour,80,1.903089987,1.903089987,0,none,no
C,PCMA,Pour,SP.TSC,240,40,240,yes,yes,Pour,240,2.380211242,2.380211242,40,yes,yes
C,PCMA,Pour,STSE,80,0,80,no,none,Pour,80,1.903089987,1.903089987,0,none,no
C,PCMA,Spread,HHR.TSC,60,0,60,no,none,Spread,60,1.77815125,1.77815125,0,none,no
C,PCMA,Spread,SP.MSC,40,0,40,no,none,Spread,40,1.602059991,1.602059991,0,none,no
C,PCMA,Spread,SP.TSC,160,57.5,160,yes,yes,Spread,160,2.204119983,2.204119983,57.5,yes,yes
C,PCMA,Spread,STSE,60,0,60,no,none,Spread,60,1.77815125,1.77815125,0,none,no
C,PCMA,SpreadwOverlay,HHR.TSC,40,0,40,no,none,SpreadwOverlay,40,1.602059991,1.602059991,0,none,no
C,PCMA,SpreadwOverlay,SP.MSC,100,0,100,no,none,SpreadwOverlay,100,2,2,0,none,no
C,PCMA,SpreadwOverlay,SP.TSC,300,15,300,no,no,SpreadwOverlay,300,2.477121255,2.477121255,15,no,no
C,PCMA,SpreadwOverlay,STSE,20,0,20,no,none,SpreadwOverlay,20,1.301029996,1.301029996,0,none,no
C,SMA,Pour,HHR.TSC,250,0,250,no,none,Pour,250,2.397940009,2.397940009,0,none,no
C,SMA,Pour,SP.MSC,130,0,130,no,none,Pour,130,2.113943352,2.113943352,0,none,no
C,SMA,Pour,SP.TSC,450,50,450,yes,yes,Pour,450,2.653212514,2.653212514,50,yes,yes
C,SMA,Pour,STSE,30,0,30,no,none,Pour,30,1.477121255,1.477121255,0,none,no
C,SMA,Spread,HHR.TSC,220,0,220,no,none,Spread,220,2.342422681,2.342422681,0,none,no
C,SMA,Spread,SP.MSC,100,0,100,no,none,Spread,100,2,2,0,none,no
C,SMA,Spread,SP.TSC,440,32.5,440,yes,yes,Spread,440,2.643452676,2.643452676,32.5,yes,yes
