"","powder","media","plating","test","mean_count","mean_spread_percent","mean_count_wNA","SPR","SPRs","temp_media","mean_count2","log_mean_count","log_mean_count_wNA","mean_spread_percent_wNA","SPRs_wNA","SPR_wNA"
"168","D","PCMA","SpreadwOverlay","STSE",740,0,740,"no","none","SpreadwOverlay",740,2.86923171973098,2.86923171973098,0,"none","no"
"169","D","SMA","Pour","HHR.TSC",8566.66666666667,0,NA,"no","none","Pour",8566.66666666667,3.93281186861163,NA,NA,NA,NA
"170","D","SMA","Pour","SP.MSC",160,0.833333333333333,NA,"no","no","Pour",160,2.20411998265592,NA,NA,NA,NA
"171","D","SMA","Pour","SP.TSC",53521.1111111111,28.0555555555556,NA,"yes","yes","Pour",53521.1111111111,4.72852512091103,NA,NA,NA,NA
"172","D","SMA","Pour","STSE",410,0,NA,"no","none","Pour",410,2.61278385671974,NA,NA,NA,NA
"173","D","SMA","Spread","HHR.TSC",9153.33333333333,5.55555555555556,NA,"no","no","Spread",9153.33333333333,3.96157927818107,NA,NA,NA,NA
"174","D","SMA","Spread","SP.MSC",120,10.5555555555556,NA,"no","no","Spread",120,2.07918124604762,NA,NA,NA,NA
"175","D","SMA","Spread","SP.TSC",60200,13.6111111111111,NA,"no","no","Spread",60200,4.77959649125782,NA,NA,NA,NA
"176","D","SMA","Spread","STSE",268.888888888889,0,NA,"no","none","Spread",268.888888888889,2.42957285654111,NA,NA,NA,NA
"177","D","SMA","SpreadwOverlay","HHR.TSC",8557.77777777778,0,NA,"no","none","SpreadwOverlay",8557.77777777778,3.93236100484739,NA,NA,NA,NA
"178","D","SMA","SpreadwOverlay","SP.MSC",144.444444444444,0,NA,"no","none","SpreadwOverlay",144.444444444444,2.15970084286751,NA,NA,NA,NA
"179","D","SMA","SpreadwOverlay","SP.TSC",50506.6666666667,15.8333333333333,NA,"no","no","SpreadwOverlay",50506.6666666667,4.70334870693954,NA,NA,NA,NA
"180","D","SMA","SpreadwOverlay","STSE",320,0,NA,"no","none","SpreadwOverlay",320,2.50514997831991,NA,NA,NA,NA
"181","D","TSAwS","Pour","HHR.TSC",10000,0,10000,"no","none","Pour",10000,4,4,0,"none","no"
"182","D","TSAwS","Pour","SP.MSC",140,0,140,"no","none","Pour",140,2.14612803567824,2.14612803567824,0,"none","no"
"183","D","TSAwS","Pour","SP.TSC",51000,0,51000,"no","none","Pour",51000,4.70757017609794,4.70757017609794,0,"none","no"
"184","D","TSAwS","Pour","STSE",270,0,270,"no","none","Pour",270,2.43136376415899,2.43136376415899,0,"none","no"
"185","D","TSAwS","Spread","HHR.TSC",2900,0,2900,"no","none","Spread",2900,3.46239799789896,3.46239799789896,0,"none","no"
"186","D","TSAwS","Spread","SP.MSC",160,5,160,"no","no","Spread",160,2.20411998265592,2.20411998265592,5,"no","no"
"187","D","TSAwS","Spread","SP.TSC",18000,5,18000,"no","no","Spread",18000,4.25527250510331,4.25527250510331,5,"no","no"
"188","D","TSAwS","Spread","STSE",120,0,120,"no","none","Spread",120,2.07918124604762,2.07918124604762,0,"none","no"
"189","D","TSAwS","SpreadwOverlay","HHR.TSC",3360,0,3360,"no","none","SpreadwOverlay",3360,3.52633927738984,3.52633927738984,0,"none","no"
"190","D","TSAwS","SpreadwOverlay","SP.MSC",140,0,140,"no","none","SpreadwOverlay",140,2.14612803567824,2.14612803567824,0,"none","no"
"191","D","TSAwS","SpreadwOverlay","SP.TSC",24000,0,24000,"no","none","SpreadwOverlay",24000,4.38021124171161,4.38021124171161,0,"none","no"
"192","D","TSAwS","SpreadwOverlay","STSE",180,0,180,"no","none","SpreadwOverlay",180,2.25527250510331,2.25527250510331,0,"none","no"
"193","E","BHI","Pour","HHR.TSC",250,0,250,"no","none","Pour",250,2.39794000867204,2.39794000867204,0,"none","no"
"194","E","BHI","Pour","SP.MSC",540,0,540,"no","none","Pour",540,2.73239375982297,2.73239375982297,0,"none","no"
"195","E","BHI","Pour","SP.TSC",2050,37.5,2050,"yes","yes","Pour",2050,3.31175386105575,3.31175386105575,37.5,"yes","yes"
"196","E","BHI","Pour","STSE",10,10,10,"no","no","Pour",10,1,1,10,"no","no"
"197","E","BHI","Spread","HHR.TSC",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"198","E","BHI","Spread","SP.MSC",160,55,160,"yes","yes","Spread",160,2.20411998265592,2.20411998265592,55,"yes","yes"
"199","E","BHI","Spread","SP.TSC",100,80,100,"yes","yes","Spread",100,2,2,80,"yes","yes"
"200","E","BHI","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"201","E","BHI","SpreadwOverlay","HHR.TSC",60,0,60,"no","none","SpreadwOverlay",60,1.77815125038364,1.77815125038364,0,"none","no"
"202","E","BHI","SpreadwOverlay","SP.MSC",440,17.5,440,"no","no","SpreadwOverlay",440,2.64345267648619,2.64345267648619,17.5,"no","no"
"203","E","BHI","SpreadwOverlay","SP.TSC",620,25,620,"no","no","SpreadwOverlay",620,2.79239168949825,2.79239168949825,25,"no","no"
"204","E","BHI","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"205","E","PCMA","Pour","HHR.TSC",640,0,640,"no","none","Pour",640,2.80617997398389,2.80617997398389,0,"none","no"
"206","E","PCMA","Pour","SP.MSC",240,35,240,"yes","yes","Pour",240,2.38021124171161,2.38021124171161,35,"yes","yes"
"207","E","PCMA","Pour","SP.TSC",1330,77.5,1330,"yes","yes","Pour",1330,3.12385164096709,3.12385164096709,77.5,"yes","yes"
"208","E","PCMA","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"209","E","PCMA","Spread","HHR.TSC",140,0,140,"no","none","Spread",140,2.14612803567824,2.14612803567824,0,"none","no"
