powder,sampling_scheme,test,cfu_g,cfu_g2,log_cfu_g
J,33 g discrete,HHR,2120,2120,3.326335861
J,33 g discrete,SP MSC,20,20,1.301029996
J,33 g discrete,STSE,1020,1020,3.008600172
J,33 g discrete,HHR,2520,2520,3.401400541
J,33 g discrete,SP MSC,20,20,1.301029996
J,33 g discrete,STSE,800,800,2.903089987
J,33 g composite,HHR,2380,2380,3.376576957
J,33 g composite,SP MSC,20,20,1.301029996
J,33 g composite,STSE,940,940,2.973127854
J,33 g composite,HHR,2480,2480,3.394451681
J,33 g composite,SP MSC,0,10,1
J,33 g composite,STSE,1120,1120,3.049218023
J,33 g composite,HHR,2680,2680,3.428134794
J,33 g composite,SP MSC,20,20,1.301029996
J,33 g composite,STSE,1400,1400,3.146128036
